id,name,latitude,longitude
0,Central Depot (Downtown),30.2672,-97.7431
1,Mozart's Coffee,30.2933,-97.7846
2,Caffe Medici,30.3012,-97.7383
3,Radio Coffee & Beer,30.2361,-97.7860
4,Fleet Coffee,30.2621,-97.7171
5,Houndstooth Coffee,30.3078,-97.7402
6,Bouldin Creek Cafe,30.2520,-97.7550
7,Cosmic Coffee + Beer,30.2227,-97.7621
8,Figure 8 Coffee Purveyors,30.2652,-97.7214
9,Epoch Coffee,30.3168,-97.7247
10,Franklin Barbecue,30.2701,-97.7313
11,Home Slice Pizza,30.2497,-97.7496
12,Terry Black's BBQ,30.2597,-97.7548
13,Flat Track Coffee,30.2575,-97.7128
14,Cidercade Austin,30.2488,-97.7317
